state_name,lga_name,ward_name,name,pu_code,document.url
ABIA,ABA NORTH,,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES V,01/01/05/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/017/017-1677415453.pdf
ABIA,ABA NORTH,,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES IV,01/01/05/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/016/016-1677415283.pdf
ABIA,ABA NORTH,,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES II,01/01/05/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/014/014-1677414581.pdf
ABIA,ABA NORTH,,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES III,01/01/05/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/015/015-1677414457.pdf
ABIA,ABA NORTH,,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES I,01/01/05/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/013/013-1677414006.pdf
ABIA,ABA NORTH,,ASA OKPUAJA PRIM. SCHOOL PREMISES,01/01/05/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/012/012-1677413714.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE-SCHOOL PREMISES V,01/01/05/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/011/011-1677412998.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE-SCHOOL PREMISES IV,01/01/05/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/010/010-1677412496.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE-SCHOOL PREMISES II,01/01/05/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/008/008-1677411645.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE-SCHOOL PREMISES III,01/01/05/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/009/009-1677411410.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE-SCHOOL PREMISES I,01/01/05/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/007/007-1677410754.pdf
ABIA,ABA NORTH,,HOLY GHOST COMM. SCHOOL   - SCHOOL PREMISES VI,01/01/05/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/006/006-1677409437.pdf
ABIA,ABA NORTH,,HOLY GHOST COMM. SCHOOL   - SCHOOL PREMISES V,01/01/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/005/005-1677409261.pdf
ABIA,ABA NORTH,,HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES IV,01/01/05/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/004/004-1677408600.pdf
ABIA,ABA NORTH,,HOLY GHOST COMM. SCHOOL - SCHOOL PREMISES II,01/01/05/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/002/002-1677408179.pdf
ABIA,ABA NORTH,,HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES I,01/01/05/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/001/001-1677406861.pdf
ABIA,ABA NORTH,,HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES III,01/01/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/003/003-1677405554.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE VIII,01/01/05/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/023/023-1677377159.pdf
