state_name,lga_name,ward_name,name,pu_code,document.url
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES IV,01/01/06/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/114/result_160887_1677513584_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES III,01/01/06/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/113/result_160886_1677512658_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES VIII,01/01/06/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118/result_160891_1677515718_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL XX,01/01/06/039,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618351/result_160922_1677594360_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES VIII,01/01/06/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/025/025-1677407056.pdf
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES II,01/01/06/019,
ABIA,ABA NORTH,,CIVIC CENTRE II,01/01/06/031,
ABIA,ABA NORTH,,"MIGRANT FARMERS PRIMARY SCH, III",01/01/06/029,
ABIA,ABA NORTH,,URATTA COUNCIL HALL XVIII,01/01/06/037,
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES VI,01/01/06/006,
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES IX,01/01/06/009,
