state_name,lga_name,ward_name,name,pu_code,document,uploaded_at,has_old_documents,json_url
KWARA,ASA,BALLAH/OTTE,GBAGBA  L.G.E.A.SCH,23/01/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/009/009-1677392450.pdf,2023-02-26T06:56:54.238Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,HEALTH CENTER ARAROMI,23/01/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/014/014-1677380016.pdf,2023-02-26T02:55:59.887Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,HEALTH CENTRE AKOPARI,23/01/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3592/ward/23099/pu/155359/155359-1677494575.pdf,2023-02-27T10:43:00.758Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,ILE ABE OTTE OPEN SPACE,23/01/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/010/010-1677377924.pdf,2023-02-26T02:19:59.612Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,KAM-ABIOYE HOUSING POWER-LINE EYENKORIN,23/01/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/016/016-1677378758.pdf,2023-02-26T02:33:59.795Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,LASOJU LGEA SCH,23/01/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/019/019-1677379407.pdf,2023-02-26T02:44:00.810Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,LASOJU OPEN SPACE,23/01/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/011/011-1677369131.pdf,2023-02-25T23:53:01.064Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,ORO GBAGBA/PASA LGEA SCH,23/01/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/017/017-1677374162.pdf,2023-02-26T01:16:59.943Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,OTTE  L.G.E.A.SCH,23/01/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/001/001-1677393189.pdf,2023-02-26T06:58:28.714Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,OTTE LGEA SCHOOL II,23/01/09/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/012/012-1677395031.pdf,2023-02-26T07:06:01.117Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,OTTE MARKET,23/01/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/006/006-1677386966.pdf,2023-02-26T04:58:39.954Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,OTTE MATERNITY,23/01/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/007/007-1677394229.pdf,2023-02-26T06:59:18.104Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BUDO-EGBA,ADABATA  L.G.E.A.SCH,23/01/15/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/15/pu/003/003-1677364710.pdf,2023-02-25T22:39:02.326Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23105-budo-egba/polling-units.json
KWARA,ASA,BUDO-EGBA,AGBOYI-NLA  L.G.E.A.SCH,23/01/15/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/15/pu/007/007-1677363405.pdf,2023-02-25T22:18:59.533Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23105-budo-egba/polling-units.json
KWARA,ASA,BUDO-EGBA,COTTAGE HOSPITAL BUDO-EGBA,23/01/15/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/15/pu/008/008-1677377033.pdf,2023-02-26T02:08:59.548Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23105-budo-egba/polling-units.json
KWARA,ASA,BUDO-EGBA,ELEMI-NLA  L.G.E.A.SCH,23/01/15/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/15/pu/006/006-1677378471.pdf,2023-02-26T02:28:59.747Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23105-budo-egba/polling-units.json
KWARA,ASA,BUDO-EGBA,FRONT OF ASA LOCAL GOVERNMENT  SHOPPING COMPLEX BUDO-EGBA,23/01/15/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/15/pu/009/009-1677380279.pdf,2023-02-26T02:59:00.490Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23105-budo-egba/polling-units.json
